DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Arrest,LarcenyCode,ObjectID
2019/01/09 00:00:00+00,0230,0300,100 S  MIDLER AV     ,BURGLARY,,From Building,118
2019/01/09 00:00:00+00,0602,0200,1000 COL EILEEN COLLINS BLVD   ,MV THEFT,,Motor Vehicle,119
2019/01/09 00:00:00+00,0602,0200,1000 COL EILEEN COLLINS BLVD   ,MV THEFT,,Motor Vehicle,120
2019/01/09 00:00:00+00,0125,0125,300 CARBON ST     ,ROBBERY,Yes,Motor Vehicle,121
2019/01/09 00:00:00+00,1113,1113,4100 S  SALINA ST     ,LARCENY,Yes,Shoplifting,122
2019/01/09 00:00:00+00,1215,1215,600 WALNUT AV     ,LARCENY,,From Building,123
2019/01/09 00:00:00+00,1500,1506,700 N  ALVORD ST     ,LARCENY,,All Other,124
2019/01/09 00:00:00+00,0025,0025,900 WOLF ST     ,LARCENY,,All Other,125
2019/01/10 00:00:00+00,1613,1613,0 S SALINA ST & E KENNEDY ST        ,AGGRAVATED ASSAULT,,N/A,126
2019/01/10 00:00:00+00,1700,1700,100 E  WASHINGTON ST     ,LARCENY,,All Other,127
2019/01/10 00:00:00+00,2100,2100,100 MERZ AV     ,LARCENY,,From Motor Vehicle,128
2019/01/10 00:00:00+00,2225,2225,100 RIDER AV     ,AGGRAVATED ASSAULT,,N/A,129
2019/01/10 00:00:00+00,1726,1726,100 W  SENECA TPKE   ,LARCENY,,From Mailbox,130
2019/01/10 00:00:00+00,2000,0600,1400 S  MCBRIDE ST     ,LARCENY,,From Motor Vehicle,131
2019/01/10 00:00:00+00,0102,0102,2500 ERIE BLVD E ,LARCENY,Yes,Shoplifting,132
2019/01/10 00:00:00+00,2330,2330,300 KIRK AV     ,ROBBERY,,All Other,133
2019/01/10 00:00:00+00,0800,0800,400 BUTTERNUT ST     ,LARCENY,,All Other,134
2019/01/10 00:00:00+00,1500,1200,400 E  WASHINGTON ST     ,LARCENY,,From Motor Vehicle,135
2019/01/10 00:00:00+00,0930,0930,600 BUTTERNUT ST     ,LARCENY,Yes,All Other,136
