DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Attempt,Arrest,LarcenyCode,FID
2017/03/12 05:00:00+00,1100,1800,1 DESTINY USA DR,LARCENY, ,,All Other,227
2017/02/12 05:00:00+00,21,21,100 VALLEY VIEW DR     ,BURGLARY, ,,All Other,228
2017/03/13 04:00:00+00,313,1145,1400 E  WASHINGTON ST     ,LARCENY, ,,All Other,229
2017/02/12 05:00:00+00,1445,1445,700 BUTTERNUT ST     ,ROBBERY, ,Yes,All Other,230
2017/03/13 04:00:00+00,1512,1512,1 DESTINY USA DR,LARCENY, ,,All Other,231
2017/02/12 05:00:00+00,1740,1740,3200 S  SALINA ST     ,ROBBERY, ,,All Other,232
2017/03/13 04:00:00+00,1512,1512,1 DESTINY USA DR,LARCENY,A,,All Other,233
2017/02/12 05:00:00+00,1200,1200,600 PARK AV     ,LARCENY, ,Yes,All Other,234
2017/03/13 04:00:00+00,1837,1837,100 WOODSIDE DR     ,BURGLARY, ,,All Other,235
2017/02/13 05:00:00+00,1200,1200,1200 SALT SPRINGS RD     ,LARCENY, ,,All Other,236
2017/03/13 04:00:00+00,0,2359,300 HIAWATHA BLVD W ,LARCENY, ,Yes,All Other,237
2017/02/13 05:00:00+00,630,1815,100 SECOND NORTH ST     ,BURGLARY, ,,All Other,238
2017/03/13 04:00:00+00,2000,1515,100 BALLANTYNE RD     ,LARCENY, ,,All Other,239
2017/02/13 05:00:00+00,800,800,100 N  LORRAINE AV     ,LARCENY, ,,All Other,240
2017/03/14 04:00:00+00,1648,1648,200 HIER AV     ,LARCENY, ,Yes,All Other,241
2017/03/15 04:00:00+00,1453,1453,1500 LODI ST     ,ROBBERY, ,,All Other,242
2017/03/16 04:00:00+00,1145,1330,500 CUMBERLAND AV     ,BURGLARY, ,,All Other,243
2017/03/16 04:00:00+00,1340,1540,300 ALLEN ST     ,LARCENY, ,,All Other,244
2017/03/17 04:00:00+00,2000,747,900 JAMES ST     ,LARCENY, ,,All Other,245
2017/03/17 04:00:00+00,1356,1356,500 CUMBERLAND AV     ,BURGLARY, ,,All Other,246
2017/03/17 04:00:00+00,1930,1930,1000 S  GEDDES ST     ,LARCENY, ,,All Other,247
2017/03/17 04:00:00+00,1452,1718,400 W  OSTRANDER AV     ,LARCENY, ,,All Other,248
2017/03/17 04:00:00+00,1615,2235,0 UNKNOWN        ,LARCENY, ,,All Other,249
2017/03/17 04:00:00+00,107,107,700 FIRST NORTH ST     ,LARCENY, ,,All Other,250
2017/03/18 04:00:00+00,1723,1723,100 GREENLAND DR     ,LARCENY, ,,All Other,251
2017/03/18 04:00:00+00,1507,1507,300 HAMILTON ST     ,LARCENY, ,,All Other,252
2017/03/18 04:00:00+00,2350,2350,300 W  KENNEDY ST     ,ROBBERY, ,,All Other,253
2017/03/18 04:00:00+00,2100,2100,2200 S  SALINA ST     ,ROBBERY, ,,All Other,254
2017/03/18 04:00:00+00,150,150,300 N  CLINTON ST     ,LARCENY, ,,All Other,255
2017/03/19 04:00:00+00,1210,1225,1000 IRVING AV     ,LARCENY, ,,All Other,256
2017/03/20 04:00:00+00,740,740,500 S  STATE ST     ,LARCENY, ,,All Other,257
2017/03/20 04:00:00+00,959,959,500 S  STATE ST     ,LARCENY, ,,All Other,258
2017/03/20 04:00:00+00,1200,1130,600 BUTTERNUT ST     ,LARCENY, ,,All Other,259
2017/03/20 04:00:00+00,1200,1200,300 FAYETTE BLVD   ,LARCENY, ,,All Other,260
2017/03/21 04:00:00+00,950,950,1800 SOUTH AV     ,LARCENY, ,Yes,All Other,261
2017/03/21 04:00:00+00,1313,1313,100 HOOD AV     ,LARCENY, ,,All Other,262
2017/03/21 04:00:00+00,1600,1600,1600 JAMES ST     ,LARCENY, ,Yes,All Other,263
2017/03/21 04:00:00+00,900,900,3000 ERIE BLVD E ,LARCENY, ,Yes,All Other,264
2017/03/21 04:00:00+00,2115,615,400 FELLOWS AV     ,LARCENY, ,,All Other,265
2017/03/22 04:00:00+00,1148,1148,2400 ERIE BLVD E ,LARCENY, ,Yes,All Other,266
2017/03/22 04:00:00+00,1220,1226,1400 OAK ST     ,ROBBERY, ,Yes,All Other,267
2017/03/23 04:00:00+00,1625,1625,100 DICKERSON ST     ,ROBBERY, ,,All Other,268
2017/03/23 04:00:00+00,1000,1300,100 JOHN ST     ,LARCENY, ,,All Other,269
2017/03/23 04:00:00+00,0,0,200 LILLIAN AV     ,LARCENY, ,,All Other,270
2017/03/23 04:00:00+00,2230,1330,100 FRISBIE CT     ,LARCENY, ,,All Other,271
2017/03/24 04:00:00+00,830,1230,100 NELSON ST     ,LARCENY, ,,All Other,272
2017/03/24 04:00:00+00,1938,1938,700 HIXSON AV     ,ROBBERY, ,,All Other,273
2017/03/24 04:00:00+00,1300,1300,500 BUTTERNUT ST     ,LARCENY, ,,All Other,274
2017/03/24 04:00:00+00,1817,1817,500 W  ERIE BLVD   ,LARCENY, ,,All Other,275
2017/03/25 04:00:00+00,856,856,400 CRAWFORD AV     ,LARCENY, ,,All Other,276
2017/03/25 04:00:00+00,1737,1737,400 S  SALINA ST     ,LARCENY,A,,All Other,277
