X,Y,OBJECTID,DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,ARREST
-8476306.20147802,5310659.85861936,1237,2018/04/05,1200,1200,100 SEARLWYN RD,LARCENY,
-8476390.51077701,5324469.80624169,1238,2018/05/08,1115,1115,100 CHATHAM PL,AGGRAVATED ASSAULT,
-8479122.98297704,5317502.05371966,1239,2018/04/05,0316,0316,200 FITCH,MURDER,
-8476232.71545032,5311085.87332296,1240,2018/05/08,1803,1803,100 E  WARRINGTON RD,LARCENY,
-8478340.66126168,5319147.65780256,1241,2018/05/08,1037,1037,300 MARCELLUS ST,MV THEFT,
-8476159.73456959,5313311.87873787,1242,2018/04/04,0618,0618,4100 S  SALINA ST,BURGLARY,
-8471859.52924618,5319478.06104023,1243,2018/05/08,1757,1757,500 SEELEY RD,AGGRAVATED ASSAULT,
-8480006.33690807,5317136.8383173,1244,2018/04/05,0308,0308,1400 W  ONONDAGA ST,AGGRAVATED ASSAULT,
-8474671.79356647,5321175.50364756,1245,2018/05/09,1200,1210,100 DOROTHY ST,LARCENY,
-8471794.90827985,5319405.39866544,1246,2018/05/09,1209,1209,100 E  FAYETTE ST,LARCENY,
-8474521.5121417,5317471.14394834,1247,2018/05/09,0600,1000,300 EUCLID AV,LARCENY,
-8478154.07010425,5318581.39194158,1248,2018/04/05,1200,1300,400 GIFFORD ST,LARCENY,
-8474959.83263757,5319083.2235877,1249,2018/05/09,0703,0703,1200 E  GENESEE ST,LARCENY,
-8477972.16461517,5322229.47194197,1250,2018/04/05,1100,1100,300 COURT ST,AGGRAVATED ASSAULT,
-8479245.35478267,5314202.60126456,1251,2018/05/09,1804,1804,600 LYNCH AV,LARCENY,
-8480414.54343723,5316910.54534039,1252,2018/05/10,1500,1630,100 RIDER AV,BURGLARY,
-8475035.97527978,5315200.17357344,1253,2018/05/10,1844,1844,200 VINCENT ST,BURGLARY,
-8475422.64902428,5315291.6208913,1254,2018/04/05,1040,1150,100 RONEY LN,AGGRAVATED ASSAULT,
-8476211.17507495,5322419.30230646,1255,2018/05/10,1600,1600,1300 BUTTERNUT ST,LARCENY,
-8475701.13624576,5320682.19897192,1256,2018/04/04,1513,1513,900 JAMES ST,LARCENY,
-8474907.73509838,5318643.1641075,1257,2018/05/10,1739,1739,300 COMSTOCK AV,LARCENY,
-8480943.53358143,5318947.50204769,1258,2018/05/10,1447,1615,400 TENNYSON AV,LARCENY,
-8475701.13624576,5320682.19897192,1259,2018/04/05,0500,0930,900 JAMES ST,BURGLARY,
-8477793.88777048,5312855.77330409,1260,2018/04/06,1200,1200,0 MAXWELL CT,LARCENY,
-8476159.73456959,5313311.87873787,1261,2018/04/05,1541,1541,4100 S  SALINA ST,LARCENY,
-8477835.71612156,5318178.45073581,1262,2018/05/10,2354,2354,400 W  ONONDAGA ST,AGGRAVATED ASSAULT,
,,1263,2018/04/06,0537,0546,100 COLLEGEP PL,LARCENY,
-8478164.53805817,5313859.72854584,1264,2018/04/06,1856,1856,100 BARNES AV,BURGLARY,
-8471521.8181504,5318445.90456726,1265,2018/04/06,0700,1655,100 HURLBURT RD,LARCENY,
-8475701.13624576,5320682.19897192,1266,2018/04/05,1330,1430,900 JAMES ST,LARCENY,
-8481033.18970039,5316692.23600911,1267,2018/04/06,1035,1035,100 OVERLOOK DR,BURGLARY,
,,1268,2018/04/06,0000,1226,100 SIMS DR,LARCENY,
-8475422.64902428,5315291.6208913,1269,2018/04/06,0810,1500,100 RONEY LN,BURGLARY,
-8478496.87572365,5317030.37964549,1270,2018/04/06,0755,0755,200 COOLIDGE AV,MV THEFT,
-8479291.44106838,5315154.95171153,1271,2018/05/11,1620,1620,400 ROBINEAU RD,MV THEFT,
-8477553.68807163,5319927.75735116,1272,2018/05/11,1200,1200,300 W  GENESEE ST,LARCENY,
-8474260.17457248,5320810.94532289,1273,2018/04/06,1600,1600,200 ROBINSON ST,LARCENY,
-8474785.79625357,5318453.48398147,1274,2018/04/06,1500,0950,1300 E  ADAMS ST,LARCENY,
-8477092.82541673,5318776.13941119,1275,2018/05/12,0729,0729,100 E  ONONDAGA ST,LARCENY,
-8477092.82541673,5318776.13941119,1276,2018/05/12,1747,1747,100 E  ONONDAGA ST,LARCENY,
-8476496.21632721,5315956.22864264,1277,2018/04/06,1100,1115,100 WOOD AV,MV THEFT,
,,1278,2018/04/06,1500,1800,400 CHINOOK DR,LARCENY,
-8476222.19573045,5322105.25144917,1279,2018/05/12,0215,0215,1200 BUTTERNUT ST,BURGLARY,A
-8472352.45186265,5322755.30725929,1280,2018/05/12,1600,1600,200 ASHDALE AV,LARCENY,
-8477789.12891569,5317473.88538145,1281,2018/05/12,0111,0111,200 LINCOLN AV,AGGRAVATED ASSAULT,
-8476106.35396675,5315507.00291166,1282,2018/04/06,2142,2142,2300 S  STATE ST,AGGRAVATED ASSAULT,
-8476213.71967938,5313029.47870165,1283,2018/04/06,2300,2300,4300 S  SALINA ST,LARCENY,
-8477092.82541673,5318776.13941119,1284,2018/05/13,1930,1930,100 E  ONONDAGA ST,LARCENY,
-8478883.31964026,5317219.76204015,1285,2018/04/07,0935,0935,100 PUTNAM ST,ROBBERY,A
-8476159.73456959,5313311.87873787,1286,2018/04/06,0840,0840,4100 S  SALINA ST,LARCENY,
,,1287,2018/04/07,1828,1915,0 DESTINY USA DR,LARCENY,
-8472735.16825978,5329331.09357306,1288,2018/05/13,0040,0040,1000 COL EILEEN COLLINS BLVD,LARCENY,
-8471858.51443641,5320115.25636691,1289,2018/04/07,1604,1604,2500 ERIE BLVD E,LARCENY,
-8476295.83355259,5321322.22761416,1290,2018/05/13,1615,1638,300 S  ALVORD ST,MV THEFT,
-8472620.3040665,5323165.04958806,1291,2018/04/07,1155,1155,400 LILLIAN AV,LARCENY,
-8476590.30724781,5315821.18759446,1292,2018/04/07,2130,0053,200 W  COLVIN ST,AGGRAVATED ASSAULT,
-8476332.4020611,5318451.24423154,1293,2018/05/13,1830,2030,900 S  MCBRIDE ST,LARCENY,
-8476656.69581798,5321746.72956573,1294,2018/04/08,0900,0945,200 JOHN ST,BURGLARY,
,,1295,2018/04/08,1147,1147,0 DESTINY USA DR,LARCENY,
-8474800.44445685,5321285.55834295,1296,2018/04/08,0000,0730,1200 JAMES ST,MV THEFT,
-8474781.60251154,5318128.03168451,1297,2018/04/08,1830,1900,600 COMSTOCK AV,LARCENY,
-8482090.43431897,5320730.82319,1298,2018/04/08,1530,1630,300 CHEMUNG ST,BURGLARY,
-8470036.17320776,5320375.02978106,1299,2018/04/08,2243,2243,3000 ERIE BLVD E,MV THEFT,
-8477296.70712344,5321478.5528853,1300,2018/05/14,1700,2035,1100 N  TOWNSEND ST,LARCENY,
-8474136.40096895,5317527.64908008,1301,2018/04/08,1900,1226,800 ACKERMAN AV,LARCENY,
-8474632.27843205,5321679.75085574,1302,2018/04/09,1513,1513,0 BRATTLE RD,LARCENY,
-8473776.11685768,5319303.9466671,1303,2018/05/14,1625,1625,1700 E  FAYETTE ST,AGGRAVATED ASSAULT,A
-8481812.79947391,5320594.86907879,1304,2018/04/09,2000,1600,100 OLIVE ST,LARCENY,
-8471794.90827985,5319405.39866544,1305,2018/05/14,1416,1416,100 E  FAYETTE ST,BURGLARY,
-8474907.73509838,5318643.1641075,1306,2018/05/14,1908,1908,300 COMSTOCK AV,LARCENY,
,,1307,2018/04/09,1925,1925,0 DESTINY USA DR,LARCENY,
-8473991.76688763,5317676.82991304,1308,2018/04/09,1224,1224,100 REDFIELD PL,BURGLARY,
-8477835.71612156,5318178.45073581,1309,2018/05/14,1515,1700,400 ONONDAGA TER,LARCENY,
-8477835.71612156,5318178.45073581,1310,2018/05/14,1814,1814,400 ONONDAGA TER,BURGLARY,A
-8478760.11284287,5322441.95076817,1311,2018/04/09,1245,0245,100 WOLF ST,LARCENY,
-8478920.74708812,5318408.74834681,1312,2018/05/14,0917,0917,500 SEYMOUR ST,MV THEFT,
-8473641.74496777,5321531.95858764,1313,2018/04/09,1734,1734,200 MOONEY AV,BURGLARY,
-8475701.13624576,5320682.19897192,1314,2018/04/05,0953,0953,900 JAMES ST,BURGLARY,
